Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
38,12/9/2024 10:49,Berlin,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,8,2,Senior,,Other,,Other,2.00,101-1000,65000,65000,,28,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Midjourney"
37,12/9/2024 10:51,Berlin,,Full/Part-time employee,Backend Software Engineer,,17,6,Senior,,PHP,,Go,0.50,101-1000,90000,90000,88000,30,,,,,40,"Yes, I am NOT satisfied with a severance package","Yes, in 2024",No,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",4.0,Invisible,No,
37,12/9/2024 10:52,Berlin,,Full/Part-time employee,Site Reliability Engineer,,18,9,Staff / Lead / Manager,,Cloud (AWS / Azure / GCP),,"Python,Go,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,1000,110000,118000,107000,26,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
34,12/9/2024 10:52,Berlin,,Full/Part-time employee,Site Reliability Engineer,,12,4,Senior,,Cloud (AWS / Azure / GCP),,"Kubernetes,Cloud (AWS / Azure / GCP),Terraform,Python,Bash / Zsh / PowerShell,Docker",4.00,101-1000,80500,90000,80000,29,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,No,
29,12/9/2024 10:52,Berlin,,Full/Part-time employee,Backend Software Engineer,,8,2,Senior,,Java / Scala / Kotlin,,"Java / Scala / Kotlin,SQL,Cloud (AWS / Azure / GCP),Docker",2.00,1000,110000,140000,130000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
35,12/9/2024 10:52,Berlin,,Founder,Other,Business owner,15,12,Other,,Other,,"Python,Cloud (AWS / Azure / GCP)",4.00,up to 10,120000,120000,150000,unlimited,,,,,20,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Anthropic Claude"
30,12/9/2024 10:52,Munich,,Full/Part-time employee,Frontend Software Engineer,,9,7,Senior,,JavaScript / TypeScript,,,0.50,1000,107000,116000,117000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,,"Voluntary, it was my decision",0.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 10:53,Munich,,Full/Part-time employee,Software Engineer,,14,4,Senior,,NodeJS,,"JavaScript / TypeScript,NodeJS,Cloud (AWS / Azure / GCP)",3.00,11-50,85000,85000,85000,30,,,,,40,,No,,,Yes,Insurance,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude,Google Gemini"
36,12/9/2024 10:53,Berlin,,Full/Part-time employee,Backend Software Engineer,,17,3,Senior,,Ruby,,"SQL,Docker,Other",2.00,11-50,91000,91000,88000,30,,,,,40,,No,,,No,Insurance,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
33,12/9/2024 10:54,Berlin,,Full/Part-time employee,Software Engineer,,8,6,Mid-level,,Java / Scala / Kotlin,,"JavaScript / TypeScript,Swift,Dashboards (Power BI / Tableau / Looker / etc.)",3.00,1000,94000,130000,120000,26,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Anthropic Claude
36,12/9/2024 10:54,Berlin,,Full/Part-time employee,Engineering Manager,,18,7,Staff / Lead / Manager,,,,"JavaScript / TypeScript,NodeJS",6.00,1000,110000,110000,105000,32,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
38,12/9/2024 10:55,Berlin,,Full/Part-time employee,Engineering Manager,,14,9,Senior Staff / Director,,Java / Scala / Kotlin,,"JavaScript / TypeScript,PHP,Go,Docker,SQL,Terraform,Cloud (AWS / Azure / GCP),Java / Scala / Kotlin,Python",7.00,1000,170000,230000,205000,30,,,,,40,,I dont know,,,Yes,Other,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
35,12/9/2024 10:56,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,13,2,Mid-level,,C# / .NET,,".NET,C# / .NET core",2.00,1000,86000,86000,81000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
31,12/9/2024 10:57,Berlin,,Full/Part-time employee,Backend Software Engineer,,12,4,Staff / Lead / Manager,,Python,,"Go,SQL,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,11-50,78000,85000,85000,34,,,,,42,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
30,12/9/2024 10:58,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,9,3,Mid-level,,,,"Java / Scala / Kotlin,Kubernetes,Cloud (AWS / Azure / GCP),Bash / Zsh / PowerShell",1.50,1000,67000,74000,67000,30,,,,,40,,I dont know,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
40,12/9/2024 10:59,Berlin,,Full/Part-time employee,Site Reliability Engineer,,15,8,Senior,,Terraform,,"Python,Cloud (AWS / Azure / GCP),Docker,Bash / Zsh / PowerShell",8.00,101-1000,74000,74000,,,,,,,40,No,"Yes, both in 2023-2024",,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"Anthropic Claude,Google Gemini,OpenAI ChatGPT"
33,12/9/2024 11:01,Berlin,,Full/Part-time employee,Mobile Software Engineer,,12,2,Senior,,,,,0.30,101-1000,115000,115000,,,,,,,40,,I dont know,,,Yes,Financial Services,Yes,better than it was,,"Voluntary, it was my decision",2.0,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
37,12/9/2024 11:02,Berlin,,Full/Part-time employee,Backend Software Engineer,,18,9,Senior,,Java / Scala / Kotlin,,"Python,Kubernetes,Docker",0.83,101-1000,90000,90000,78000,28,,,,,40,,No,,,Yes,Financial Services,Yes,better than it was,,"Involuntarily, I was forced to look for a new job",3.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,JetBrains AI"
35,12/9/2024 11:02,Berlin,,Full/Part-time employee,Backend Software Engineer,,9,5,Senior,,Java / Scala / Kotlin,,,2.50,1000,105000,202000,167000,unlimited,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
39,12/9/2024 11:04,Cologne,,Full/Part-time employee,Software Engineer,,19,11,Senior,,C / C++,,"Python,C# / .NET core,SQL,Docker",5.00,101-1000,87000,87000,86000,30,,,,,42,,I dont know,,,"Yes, but only for backfilling",Other,No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
38,12/9/2024 11:04,Berlin,,Full/Part-time employee,Software Engineer,,15,5,Senior,,Go,,"Kubernetes,Docker",2.50,1000,100000,108000,,27,,,,,40,,I dont know,,,Yes,Financial Services,No,,,,,Invisible,No,
35,12/9/2024 11:05,Berlin,,Full/Part-time employee,Other,Referent Performance Management & Reporting,3,3,Junior,,Non-tech instruments,,"Python,SQL,SAP / ABAP,Other,Dashboards (Power BI / Tableau / Looker / etc.)",3.00,1000,57324,62000,55000,30,,,,,38,,No,,,Yes,Oil & Gas,No,,,,,Invisible,No,
33,12/9/2024 11:06,Berlin,,Full/Part-time employee,Backend Software Engineer,,15,7,Staff / Lead / Manager,,Go,,PHP,7.00,1000,80000,120000,120000,28,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,Other
31,12/9/2024 11:08,Munich,,Full/Part-time employee,Software Engineer,,9,7,Senior,,NodeJS,,"Python,JavaScript / TypeScript,Cloud (AWS / Azure / GCP)",1.00,51-100,90000,90000,73500,30,,,,,40,,"Yes, in 2023",,,Yes,Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,JetBrains AI"
33,12/9/2024 11:08,Berlin,,Full/Part-time employee,Data Scientist,,8,8,Senior,,Python,,,2.00,1000,122300,178000,167000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"Microsoft Copilot,Anthropic Claude"
36,12/9/2024 11:11,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,6,2,Senior,,C# / .NET,,"SQL,Cloud (AWS / Azure / GCP),Other",,1000,99000,99000,0,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Other"
35,12/9/2024 11:15,Berlin,,Full/Part-time employee,Software Engineer,,7,4,Senior,,Java / Scala / Kotlin,,,3.00,101-1000,88000,88000,85000,30,,,,,40,,No,,,Yes,Healthcare,No,,,,,Great,Yes,"OpenAI ChatGPT,Anthropic Claude,Google Gemini"
34,12/9/2024 11:17,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,6,4,Senior,,,,Python,2.00,101-1000,81000,81000,78000,29,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling",Insurance,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
37,12/9/2024 11:17,Berlin,,Full/Part-time employee,Mobile Software Engineer,,10,8,Senior,,Swift,,Ruby,6.00,101-1000,75600,87000,87000,28,,,,,40,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Invisible,Yes,OpenAI ChatGPT
27,12/9/2024 11:18,Berlin,,Full/Part-time employee,Frontend Software Engineer,,7,3,Senior,,JavaScript / TypeScript,,"JavaScript / TypeScript,Java / Scala / Kotlin",2.50,101-1000,107000,115000,98000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
45,12/9/2024 11:18,Berlin,,Full/Part-time employee,Solution Architect / Data Architect,,20,20,Senior,,Cloud (AWS / Azure / GCP),,"Java / Scala / Kotlin,Docker,Terraform",1.00,1000,105000,120000,90000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",2.0,Moderate but noticeable,Yes,OpenAI ChatGPT
36,12/9/2024 11:18,Berlin,,Full/Part-time employee,Backend Software Engineer,,15,5,Senior,,Java / Scala / Kotlin,,"Docker,Dashboards (Power BI / Tableau / Looker / etc.),Kubernetes,Terraform,Cloud (AWS / Azure / GCP),Bash / Zsh / PowerShell",2.50,1000,98000,110000,98000,30,,,,,40,,No,,,Yes,Other,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
35,12/9/2024 11:20,Berlin,,Full/Part-time employee,Other,Customer Success Engineer,14,3,Senior,,Dashboards (Power BI / Tableau / Looker / etc.),,"Python,SQL,Cloud (AWS / Azure / GCP),Docker",1.00,1000,100000,100000,100000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,JetBrains AI"
35,12/9/2024 11:20,Berlin,,Full/Part-time employee,Product Manager,,13,4,Staff / Lead / Manager,,Non-tech instruments,,,0.75,101-1000,112000,112000,105000,27,,,,,40,,No,,,Yes,Advertising Services,Yes,about the same,,"Involuntarily, I was forced to look for a new job",3.0,Moderate but noticeable,Yes,OpenAI ChatGPT
41,12/9/2024 11:24,Munich,,Full/Part-time employee,DevOps Engineer,,14,2,Senior,,Non-tech instruments,,Other,4.00,1000,112000,140000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
34,12/9/2024 11:24,Frankfurt,,Full/Part-time employee,Software Engineer,,12,9,Senior,,Python,,"Python,Java / Scala / Kotlin,JavaScript / TypeScript",2.00,1000,120000,130000,,,,,,,40,,No,,,Yes,Financial Services,No,,,,,,,
33,12/9/2024 11:24,Cologne,,Full/Part-time employee,Software Engineer,,7,3,Senior,,PHP,,JavaScript / TypeScript,3.00,51-100,100000,116000,107000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,,,
39,12/9/2024 11:25,Heidelberg,,Self-employed (freelancer),Solution Architect / Data Architect,,20,7,Staff / Lead / Manager,,Bash / Zsh / PowerShell,,Bash / Zsh / PowerShell,2.00,1000,,,,,90.0,1800.0,15.0,0,40,,I dont know,,,I dont know,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,Yes,"Anthropic Claude,OpenAI ChatGPT"
40,12/9/2024 11:26,Other,Magdeburg,Full/Part-time employee,Data Engineer / Analytics Engineer,,17,0,Mid-level,,Python,,"Python,SQL",0.40,101-1000,48000,57000,,22,,,,,40,,No,,,Yes,Other,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
39,12/9/2024 11:26,Berlin,,Full/Part-time employee,Product Manager,,10,1,Senior,,,,,3.00,51-100,90500,90500,90500,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Other,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
36,12/9/2024 11:28,Hamburg,,Self-employed (freelancer),Backend Software Engineer,,15,10,Senior,,Java / Scala / Kotlin,,SQL,7.00,101-1000,,,,,90.0,2000.0,12.0,0,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
38,12/9/2024 11:33,Berlin,,Full/Part-time employee,Machine Learning Engineer,,5,2,Senior,,Python,,"Docker,Python,Other,Bash / Zsh / PowerShell,SQL",,11-50,91000,100000,100000,30,,,,,40,,No,,,"Yes, but only for backfilling",Healthcare,No,,,,,Invisible,No,
42,12/9/2024 11:34,Munich,,Full/Part-time employee,Solution Architect / Data Architect,,12,7,Senior,,Cloud (AWS / Azure / GCP),,"Docker,Dashboards (Power BI / Tableau / Looker / etc.),Cloud (AWS / Azure / GCP),Terraform,SQL,Python",3.00,1000,115000,145000,130000,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Anthropic Claude,Other"
29,12/9/2024 11:35,Dusseldorf,,Full/Part-time employee,Backend Software Engineer,,10,5,Senior,,C / C++,,"SQL,Docker,C / C++,Python",1.00,101-1000,82000,82000,82000,30,,,,,40,,No,,,"Yes, but only for backfilling",Advertising Services,No,,,,,Moderate but noticeable,No,
32,12/9/2024 11:36,Other,Freiburg im Breisgau,Full/Part-time employee,Software Engineer,,7,7,Staff / Lead / Manager,,Python,,"C / C++,C# / .NET core",1.00,1000,78650,85000,70000,,,,,,39,,I dont know,,,Yes,Healthcare,Yes,better than it was,,"Voluntary, it was my decision",2.0,Invisible,Yes,Microsoft Copilot
35,12/9/2024 11:37,Berlin,,Full/Part-time employee,DevOps Engineer,,12,4,Senior,,Kubernetes,,"Python,Go,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,101-1000,115000,115000,107000,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Financial Services,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude,Google Gemini"
32,12/9/2024 11:37,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,10,3,Senior,,SQL,,"Python,Dashboards (Power BI / Tableau / Looker / etc.),Other",,101-1000,105000,110000,110000,28,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
41,12/9/2024 11:37,Berlin,,Full/Part-time employee,Frontend Software Engineer,,16,4,Senior,,Other,ClojureScript,JavaScript / TypeScript,4.00,51-100,102000,102000,100000,26,,,,,40,"Yes, I am satisfied with a severance package","Yes, both in 2023-2024",No,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
29,12/9/2024 11:38,Frankfurt,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,7,3,Staff / Lead / Manager,,,,"Python,JavaScript / TypeScript,Java / Scala / Kotlin,SQL,Cloud (AWS / Azure / GCP),Docker",3.00,11-50,70000,70000,,24,,,,,40,No,"Yes, both in 2023-2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Google Gemini"
37,12/9/2024 11:41,Bremen,,Temporarily unemployed,Technical Program / Project Manager,,13,5,Senior,,Non-tech instruments,,Other,1.50,1000,,,,,,,,,,"Yes, I am satisfied with a severance package","Yes, both in 2023-2024",No,"Yes, actively",Yes,"Information Services, IT, Software Development, or other Technology",No,,76000,,,Moderate but noticeable,Yes,OpenAI ChatGPT
33,12/9/2024 11:42,Berlin,,Full/Part-time employee,Engineering Manager,,12,5,Staff / Lead / Manager,,Cloud (AWS / Azure / GCP),,"Python,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker,Bash / Zsh / PowerShell",3.00,101-1000,112000,119000,119000,31,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 11:45,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,6,3,Senior,,Other,Dart / Flutter,,1.00,1000,75000,75000,67000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Other,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
38,12/9/2024 11:46,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,10,5,Staff / Lead / Manager,,JavaScript / TypeScript,,"JavaScript / TypeScript,SQL,Kubernetes,Docker",5.00,101-1000,66000,66000,,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2024",No,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
35,12/9/2024 11:47,Berlin,,Full/Part-time employee,Backend Software Engineer,,14,9,Senior,,Java / Scala / Kotlin,,Cloud (AWS / Azure / GCP),0.00,51-100,78000,78000,0,30,,,,,40,,No,,,Yes,Financial Services,Yes,worse than it was,,"Involuntarily, I was forced to look for a new job",1.5,Great,Yes,"OpenAI ChatGPT,JetBrains AI"
34,12/9/2024 11:47,Berlin,,Full/Part-time employee,Engineering Manager,,1,1,Staff / Lead / Manager,,,,"Terraform,Kubernetes,Docker",3.00,1000,109440,250000,210000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
31,12/9/2024 11:47,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,5,3,Mid-level,,SQL,,"Python,Dashboards (Power BI / Tableau / Looker / etc.)",5.00,101-1000,72000,82000,62000,28,,,,,40,,No,,,Yes,Other,No,,,,,Invisible,Yes,OpenAI ChatGPT
39,12/9/2024 11:51,Berlin,,Full/Part-time employee,Backend Software Engineer,,16,5,Senior,,C# / .NET,,"SQL,Cloud (AWS / Azure / GCP),Kubernetes,Docker,Terraform",5.00,1000,102000,152000,150000,29,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Google Gemini"
32,12/9/2024 11:51,Berlin,,Full/Part-time employee,Software Engineer,,8,5,Senior,,,,"Docker,Other,SQL",4.00,101-1000,125000,149000,124000,29,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"Microsoft Copilot,OpenAI ChatGPT"
39,12/9/2024 11:54,Berlin,,Full/Part-time employee,Other,Head of Department,20,9,Senior Staff / Director,,Java / Scala / Kotlin,,"Python,SQL,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes",5.00,101-1000,160000,160000,160000,25,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Anthropic Claude,JetBrains AI"
33,12/9/2024 11:55,Berlin,,Full/Part-time employee,Data Engineer / Analytics Engineer,,4,4,Mid-level,,Cloud (AWS / Azure / GCP),,"Python,Terraform,Cloud (AWS / Azure / GCP)",3.00,1000,72000,74000,69000,30,,,,,40,No,"Yes, in 2024",,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
31,12/9/2024 11:55,Berlin,,Full/Part-time employee,DevOps Engineer,,6,6,Mid-level,,Java / Scala / Kotlin,,"Java / Scala / Kotlin,SQL,Cloud (AWS / Azure / GCP),Docker",0.70,101-1000,75000,75000,55000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",3.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 11:55,Berlin,,Full/Part-time employee,Software Engineer,,8,5,Senior,,NodeJS,,"JavaScript / TypeScript,NodeJS,SAP / ABAP",,1000,88200,106400,,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",4.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
43,12/9/2024 11:55,Berlin,,Full/Part-time employee,Software Engineer,,18,12,Staff / Lead / Manager,,NodeJS,,"Python,JavaScript / TypeScript,Go,SQL,NodeJS,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,101-1000,107000,144000,139000,30,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude"
29,12/9/2024 11:58,Berlin,,Full/Part-time employee,Data Engineer / Analytics Engineer,,8,3,Mid-level,,Python,,"SQL,Dashboards (Power BI / Tableau / Looker / etc.),Docker,Kubernetes",0.25,101-1000,120000,120000,72000,40,,,,,40,,No,,,Yes,Financial Services,Yes,better than it was,,"Involuntarily, I was forced to look for a new job",3.0,Great,Yes,"Microsoft Copilot,OpenAI ChatGPT,Other"
37,12/9/2024 11:59,Berlin,,Full/Part-time employee,Frontend Software Engineer,,15,2,Staff / Lead / Manager,,JavaScript / TypeScript,,"JavaScript / TypeScript,NodeJS",1.00,101-1000,100000,110000,,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
28,12/9/2024 11:59,Berlin,,Full/Part-time employee,Machine Learning Engineer,,6,6,Mid-level,,Python,,"Python,JavaScript / TypeScript,Go,Bash / Zsh / PowerShell,Docker",2.00,1000,135000,200000,200000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
27,12/9/2024 11:59,Stuttgart,,Full/Part-time employee,Software Engineer,,7,2,Senior,,C / C++,,Python,1.75,1000,72800,85000,95000,30,,,,,35,No,"Yes, in 2024",,,No,"Manufacturing, Transportation, or Supply Chain",No,,,,,,,
30,12/9/2024 12:00,Berlin,,Full/Part-time employee,Software Engineer,,5,5,Senior,,Other,TypeScript,Python,2.00,51-100,96000,96000,93000,26,,,,,40,,No,,,"Yes, but only for backfilling",Other,No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
32,12/9/2024 12:01,Berlin,,Full/Part-time employee,Data Scientist,,7,2,Mid-level,,Python,,"SQL,Cloud (AWS / Azure / GCP),Docker,Dashboards (Power BI / Tableau / Looker / etc.)",1.50,1000,65000,65000,,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
36,12/9/2024 12:02,Berlin,,Self-employed (freelancer),Software Engineer,,14,9,Staff / Lead / Manager,,JavaScript / TypeScript,,Cloud (AWS / Azure / GCP),1.00,1000,,,,,100.0,3000.0,12.0,0,40,,"Yes, in 2023",,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/9/2024 12:02,Karlsruhe,,Full/Part-time employee,Software Engineer,,15,6,Mid-level,,C / C++,,"Python,Java / Scala / Kotlin,Bash / Zsh / PowerShell,Docker",5.00,1000,68000,68000,68000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
42,12/9/2024 12:05,Berlin,,Full/Part-time employee,Data Scientist,,7,4,Senior,,Python,,Kubernetes,4.00,1000,70000,71500,70000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
39,12/9/2024 12:05,Berlin,,Full/Part-time employee,Security Software Engineer,,15,7,Senior Staff / Director,,Go,,"Kubernetes,Cloud (AWS / Azure / GCP),Terraform",1.00,1000,190000,210000,180000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",1.0,Moderate but noticeable,Yes,"Anthropic Claude,OpenAI ChatGPT"
31,12/9/2024 12:07,Munich,,Full/Part-time employee,Other,IT Consultant,6,5,Senior,,C# / .NET,,Python,5.00,101-1000,70000,80000,75000,30,,,,,40,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
44,12/9/2024 12:08,Berlin,,Full/Part-time employee,Backend Software Engineer,,23,1,Senior,,C# / .NET,,"C# / .NET core,.NET,Docker,Kubernetes,Cloud (AWS / Azure / GCP),Terraform",0.30,101-1000,74000,74000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",5.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
29,12/9/2024 12:10,Darmstadt,,Full/Part-time employee,DevOps Engineer,,6,6,Mid-level,,Kubernetes,,"Terraform,Kubernetes,Cloud (AWS / Azure / GCP),Docker,Python",5.00,101-1000,75000,80000,70000,28,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
37,12/9/2024 12:10,Berlin,,Full/Part-time employee,Solution Architect / Data Architect,,10,10,Senior,,Java / Scala / Kotlin,,"Java / Scala / Kotlin,JavaScript / TypeScript,SQL,Terraform,Cloud (AWS / Azure / GCP)",5.00,1000,73000,80000,76000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Google Bard,Google Gemini"
